               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.050796,             0.21827,                   0,             0.87561,             0.87462,              0.7837,             0.45982,            0.052802,              0.1993,                   0,           0.0026154,           0.0026154,            0.067615
                  39,             0.05129,             0.22132,                   0,             0.87712,             0.87349,             0.78693,             0.43852,            0.054473,             0.20248,                   0,           0.0026404,           0.0026404,             0.06674
                  40,            0.051325,             0.22315,                   0,             0.87875,             0.87387,             0.78332,             0.37739,            0.054998,             0.20816,                   0,           0.0026629,           0.0026629,            0.065863
                  41,             0.05047,             0.23197,                   0,              0.8866,             0.87122,             0.80668,             0.45023,            0.054172,             0.20749,                   0,           0.0026827,           0.0026827,            0.064983
                  42,            0.052019,             0.22932,                   0,             0.88486,             0.87387,             0.80797,             0.45588,             0.05087,             0.19931,                   0,              0.0027,              0.0027,              0.0641
                  43,            0.049554,             0.22758,                   0,             0.87885,             0.87122,             0.79214,             0.44568,             0.05442,             0.20736,                   0,           0.0027147,           0.0027147,            0.063215
                  44,            0.050682,             0.23163,                   0,             0.90083,             0.85759,             0.85452,             0.39048,            0.056116,             0.20164,                   0,           0.0027268,           0.0027268,            0.062327
                  45,            0.050415,             0.22667,                   0,             0.91224,             0.85572,             0.84252,              0.3691,            0.056648,             0.19463,                   0,           0.0027364,           0.0027364,            0.061436
                  46,            0.049774,             0.22119,                   0,             0.91158,             0.86065,             0.84178,             0.43966,            0.055384,              0.1803,                   0,           0.0027436,           0.0027436,            0.060544
                  47,            0.049845,             0.22102,                   0,             0.93982,             0.85801,             0.87568,             0.48466,            0.051926,             0.18035,                   0,           0.0027482,           0.0027482,            0.059648
                  48,            0.048021,             0.21667,                   0,             0.91785,             0.85648,             0.85744,             0.36398,            0.054426,             0.19292,                   0,           0.0027505,           0.0027505,            0.058751
                  49,            0.049606,             0.21869,                   0,             0.93164,             0.85944,             0.85634,             0.45153,            0.051234,             0.17601,                   0,           0.0027504,           0.0027504,             0.05785
                  50,            0.049496,             0.22768,                   0,             0.94122,             0.85272,             0.86718,             0.53062,            0.048344,             0.17033,                   0,            0.002748,            0.002748,            0.056948
                  51,            0.048694,             0.22577,                   0,             0.98057,             0.72545,               0.825,             0.38755,            0.055806,              0.1836,                   0,           0.0027433,           0.0027433,            0.056043
                  52,            0.050302,             0.22569,                   0,             0.93292,             0.85687,             0.88516,             0.42269,            0.052934,             0.18571,                   0,           0.0027364,           0.0027364,            0.055136
                  53,            0.047799,             0.21392,                   0,             0.89394,             0.87311,             0.81465,             0.41407,            0.050799,             0.19628,                   0,           0.0027274,           0.0027274,            0.054227
                  54,            0.047751,             0.22303,                   0,             0.92329,             0.86362,             0.87333,             0.53039,            0.048862,             0.17306,                   0,           0.0027163,           0.0027163,            0.053316
                  55,            0.054316,             0.22137,                   0,             0.92256,             0.85033,             0.86125,             0.51318,            0.049761,             0.19033,                   0,           0.0027033,           0.0027033,            0.052403
                  56,            0.054406,             0.22599,                   0,             0.93624,              0.8374,             0.86173,             0.47122,            0.054961,              0.1727,                   0,           0.0026882,           0.0026882,            0.051488
                  57,            0.052983,             0.22914,                   0,             0.94627,             0.85876,              0.8826,             0.47143,            0.049302,             0.16648,                   0,           0.0026714,           0.0026714,            0.050571
